frame,track_id,x,y,speed_pps,x_m,y_m,speed_mps
1767,3,740.97,348.65,0.00,2.1388,-0.0498,
1768,3,748.07,347.36,360.79,2.1968,-0.0746,3.1565
1769,3,755.08,346.70,356.45,2.2533,-0.0880,3.0296
1800,5,587.06,405.69,0.00,0.9756,0.9062,
1801,5,583.89,402.67,218.96,0.9536,0.8609,2.5226
1802,5,580.09,400.26,221.83,0.9271,0.8245,2.3840
1803,5,576.13,398.56,219.73,0.8996,0.7987,2.2453
1804,5,572.13,397.60,216.31,0.8720,0.7840,2.0655
1805,5,568.81,396.85,207.06,0.8490,0.7727,1.8858
1806,5,565.04,396.68,200.98,0.8232,0.7702,1.5672
1807,5,561.11,396.87,195.37,0.7964,0.7731,1.3459
1808,5,557.46,398.01,190.51,0.7721,0.7906,1.3459
1812,5,543.42,407.85,320.79,0.6826,0.9380,1.3459
1831,6,758.14,374.86,0.00,2.2227,0.4105,
1832,6,769.81,375.33,584.11,2.3098,0.4176,4.3683
1833,6,781.29,375.67,579.20,2.3959,0.4224,4.3405
1836,6,814.60,379.98,945.95,2.6386,0.4928,4.3683
