timestamp_sec,frame,score
1.55,186,6 : 17
2.08,249,6 : 11
2.17,261,6 : 17
2.27,273,6 : 11
2.35,282,6 : 17
5.22,627,6 : 11
5.3,636,6 : 17
12.7,1524,6 : 11
12.85,1542,6 : 17
15.32,1839,6 : 11
15.4,1848,6 : 17
15.47,1857,6 : 11
15.55,1866,6 : 17
18.32,2199,6 : 0
18.55,2226,6 : 10
18.62,2235,6 : 16
29.48,3537,6 : 6
29.62,3555,6 : 16
30.57,3669,0 : 10
31.07,3729,0 : 0
32.58,3909,0 : 16
32.8,3936,0 : 0
37.33,4479,7 : 0
37.4,4488,17 : 0
37.62,4515,7 : 10
37.88,4545,17 : 0
38.02,4563,1 : 10
38.1,4572,1 : 0
38.25,4590,17 : 0
38.48,4617,17 : 10
38.55,4626,7 : 16
39.08,4689,7 : 10
39.15,4698,7 : 0
39.23,4707,17 : 0
39.38,4725,7 : 10
39.58,4749,1 : 10
39.65,4758,7 : 0
39.73,4767,7 : 10
39.83,4779,7 : 0
39.98,4797,17 : 0
40.05,4806,7 : 16
40.58,4869,17 : 0
40.65,4878,7 : 0
40.95,4914,1 : 0
41.02,4923,7 : 16
41.77,5013,7 : 0
41.92,5031,17 : 10
42.0,5040,17 : 0
42.08,5049,17 : 10
42.15,5058,7 : 0
42.23,5067,17 : 10
42.3,5076,17 : 0
42.38,5085,17 : 11
42.52,5103,1 : 11
42.6,5112,17 : 11
42.75,5130,1 : 11
42.9,5148,17 : 11
43.05,5166,1 : 10
43.2,5184,17 : 0
43.27,5193,1 : 11
43.38,5205,17 : 10
43.6,5232,1 : 11
43.77,5253,7 : 10
43.92,5271,7 : 0
44.02,5283,17 : 0
44.1,5292,17 : 10
44.25,5310,17 : 0
44.33,5319,7 : 0
44.4,5328,17 : 0
44.58,5349,7 : 11
44.7,5364,7 : 0
45.38,5445,17 : 11
45.8,5496,7 : 0
46.02,5523,17 : 0
46.1,5532,7 : 0
46.17,5541,7 : 11
46.25,5550,17 : 11
46.33,5559,7 : 11
46.4,5568,17 : 10
46.55,5586,7 : 16
46.9,5628,7 : 10
46.98,5637,7 : 0
47.17,5661,2 : 0
47.85,5742,2 : 11
48.0,5760,2 : 0
50.17,6021,2 : 10
50.25,6030,2 : 0
50.33,6039,2 : 10
52.12,6255,2 : 0
60.17,7221,2 : 10
60.25,7230,2 : 0
60.55,7266,2 : 7
61.27,7353,2 : 17
61.85,7422,2 : 7
63.05,7566,2 : 17
63.35,7602,2 : 7
66.72,8007,2 : 17
66.8,8016,2 : 7
